id,office_id,name,numberofpeople,gender,alias,active,activeend,master,oldname,brain,encounter,named,memo,official,twitter,youtube,tiktok
1521,999,ミラマリア,2,22,,2009/1/1 0:00,,,イケメン大好きーズ,,アイドリング!!!,,,https://web.archive.org/web/20101216014413/http://www.horiproosaka.com/prof/miramaria/index.html,,,
1522,53,めっちぇん,2,22,,2007/1/1 0:00,2010/1/1 0:00,,,赤羽奈々瀬,ライブなどでの共演,,,https://web.archive.org/web/20090819024701/http://pksp.jp:80/madchen/?,,,
1523,108,メメ,2,22,,2007/1/1 0:00,2011/1/1 0:00,,,,NSC,,,https://natalie.mu/owarai/artist/7307,,,
1524,94,メロディー ,2,22,,2007/1/1 0:00,2011/1/1 0:00,,マッピー,,,,,http://horipro.co.jp/talent/PC057/,,,
1525,108,メンバメイコボルスミ11,2,22,,1985/1/1 0:00,1988/1/1 0:00,,,,,,,,,,
1526,42,モエヤン,2,22,,2005/6/1 0:00,2013/12/1 0:00,,,,東京メッツ,,,https://web.archive.org/web/20140214194252/http://moeyan.jp/,,,
1527,108,モリマン,2,22,,1994/8/1 0:00,,,,ホルスタイン・モリ夫,札幌の雑貨屋,,,https://profile.yoshimoto.co.jp/talent/detail?id=309,,,
1528,108,やすえ・やすよ,2,22,,1982/1/1 0:00,1984/1/1 0:00,,,,,,,,,,
1529,146,雪どけホッピング,2,22,,2016/1/1 0:00,2019/1/1 0:00,,,両者,NSC,,,https://www.m-1gp.com/combi/5784.html,,,
1530,999,ラムズ ,2,22,,2013/8/1 0:00,,,ポップコーンパーティー（石田） ハナキン!、かけっこ（風間）,主に石田が作成し、共同で脚色・修正,東京NSC,,,https://web.archive.org/web/20190917043155/https://www.wonderwave.jp/artists/%E3%83%A9%E3%83%A0%E3%82%BA/,,,
1531,108,爛々,2,22,,2017/1/1 0:00,,,ぴーひゃら(萌々) 性格差(大国),萌々,NSC,,,https://profile.yoshimoto.co.jp/talent/detail?id=6391,https://twitter.com/ranran_info,https://www.youtube.com/channel/UCvuFfPGrwh9k3OpxspPylTQ,
1532,104,りっち。,2,22,,2012/1/1 0:00,2015/2/1 0:00,,RICH。,,,,,https://web.archive.org/web/20160322094132/http://we-school.net/wcs/student/info/,,,
1533,108,りんご事変,2,22,,2019/7/30 0:00,,,,齋藤真優佳,東京NSC,,,https://web.archive.org/web/20210511220835/https://ja.wikipedia.org/wiki/%E3%82%8A%E3%82%93%E3%81%94%E4%BA%8B%E5%A4%89,,https://www.youtube.com/channel/UCquIIezZMPQ1RTJHrlWxdSg,
1534,45,連戦姉妹,2,22,,2001/1/1 0:00,2010/1/1 0:00,,連戦連笑,,,,,,,,
1535,88,Y&Y,2,22,,1998/1/1 0:00,2009/1/1 0:00,,ゆかとゆみFOF（1994年 - 1999年）,,「FOF」の卒業メンバー同士,,,,,,
1536,108,若井小づえ・みどり,2,22,,1965/1/1 0:00,1991/1/1 0:00,若井はんじ・けんじ,若井こづえ・ひとみ,,洋裁学校,,,,,,
1537,135,ワチュワナドゥ,2,22,,2008/1/1 0:00,,,ザ・アンモナイト,,同じホリプロ所属同士,,,https://www.higashimura15.com/blank-23,https://twitter.com/ex_ammonite,https://www.youtube.com/channel/UCF1XW9rwgGTcTCbCQUX1otA,https://www.tiktok.com/@whatu1ado
1538,88,ワルステルダム,2,22,,2008/1/1 0:00,2014/1/1 0:00,,,,スクールJCAの同期生,,,https://www.p-jinriki.com/talent/warsteldum/,,,
1539,108,相席スタート,2,12,,2013/1/1 0:00,,,KBBY（山﨑） ハイダイブ､ヒダリウマ （山添）,山添寛,山田ナビスコﾌ紹介,,,https://profile.yoshimoto.co.jp/talent/detail?id=3524,,https://www.youtube.com/channel/UC8PClLM0It8xXOnNtB1vzOg,
1540,146,あげは,2,12,,2009/1/1 0:00,2013/1/1 0:00,,,,,,,https://web.archive.org/web/20091016093249/http://age-ha.laff.jp/blog/,,,
1541,143,あした順子・ひろし,2,12,,1960/1/1 0:00,,五代目柳家小さん 五代目鈴々舎馬風,南 順子・北 ひろし,,,,,http://bafuitimon.com/profile.php?pid=asitajunkohirosi,,,
1542,999,東喜代駒・駒千代,2,12,,1928/1/1 0:00,,,,,,,,https://tokyomanzai0408.com/kiyokoma_note,,,
1543,108,姉様キングス,2,12,,1999/1/1 0:00,,,,,,,,http://anekin.blog.shinobi.jp/,,,
1544,999,荒川キヨシ・小唄志津子,2,12,,,,荒川芳丸（キヨシ） 小山慶司（志津子）,,,,,,,,,
1545,101,荒ぶる神々,2,12,,2008/1/1 0:00,,,,,劇団グループ,,,https://laugh-iine-pro.co.jp/talent/%E8%8D%92%E3%81%B6%E3%82%8B%E7%A5%9E%E3%80%85/,,https://www.youtube.com/channel/UCLXhgsDskKrk42_LniPDFXw,
1546,999,浮世亭歌楽・ミナミサザエ,2,12,,,,大和家小宝楽（歌楽） 小山慶司（ミナミ）,,,,,,,,,
1547,117,浮世亭三吾・美ユル,2,12,,,,,浮世亭三吾・さやかみゆる,,,,,https://ameblo.jp/miryuryu/,https://twitter.com/sangomiyuru,,
1548,108,Everybody ,2,12,,2019/1/1 0:00,,,フランクリン（タクト） にねんよんくみ（かわなみ）L.A.F.U.（タクト）,タクトOK!!,芸人仲間からの紹介,,,https://profile.yoshimoto.co.jp/talent/detail?id=7254,https://twitter.com/infoeverybody,https://www.youtube.com/c/EverybodyCh,https://www.tiktok.com/@everybody201951
