id,事務所id,名前,人数,性別,別名,active,activeend,師匠,旧コンビ名,ネタ製作者,出会い,由来,公式サイト,YouTube,tiktok
52,105,アミ・ボロロク・ホエ・デシェ・ジェテ・チャイ,2,11,,2004/1/1 0:00,2007/1/1 0:00,,,,,,,,
53,108,雨上がり決死隊,2,11,,1989/1/1 0:00,2021/8/17 0:00,,ホワイト&ホワイト（蛍原） ぴいぷる（宮迫）,両者,NSC,,,,
54,88,アメデオ ,2,11,,1998/1/1 0:00,2004/1/1 0:00,,,,養成所,,,,
55,117,アメリカザリガニ ,2,11,,1994/1/1 0:00,,,劇団アメリカザリガニ,両者,中学校時代,,https://www.shochikugeino.co.jp/talents/01/post-0.html,,
56,53,アメリカンコミックス ,2,11,,2015/1/1 0:00,2018/1/1 0:00,,しまいにゃショパン（飯島） エイリアンGOGO（飯島） けつばん（鈴木）,,大学のお笑いサークル,,https://web.archive.org/web/20150525033015/http://www.sunmusic.org/profile/americancomics.html,,
57,104,あめん,2,11,,2010/2/1 0:00,2015/1/1 0:00,,上木総合研究所（上木） ひょろりんず（佐藤）,,,,,,
58,125,アモーン,2,11,,2004/12/1 0:00,,,,,,,,https://www.youtube.com/channel/UCWloq_pcmTuWVj3ywZWK6mA,
59,117,荒波部屋,2,11,,1996/1/1 0:00,2000/1/1 0:00,,,,,,,,
60,108,ありがとう,2,11,,2008/1/30 0:00,,,,,,,https://web.archive.org/web/20080614163437/http://arigatou.laff.jp/,https://www.youtube.com/channel/UCSEVmNAvs5-8OdkKxyp8AWA,
61,94,アリtoキリギリス,2,11,,1994/1/1 0:00,2016/1/1 0:00,,,石井正則,,,,,
62,146,ありんくりん,2,11,,2014/1/1 0:00,,,,,高校時代,,https://profile.yoshimoto.co.jp/talent/detail?id=6907,,
63,125,アルカリ三世,2,11,,1999/1/1 0:00,2002/1/1 0:00,,,,,,,,
64,128,アルコ&ピース,2,11,,2006/4/1 0:00,,,ドントクライ →セクシーチョコレート （平子） ホトトギス （酒井）,平子祐希,,,,https://www.youtube.com/channel/UCZ6J5UWwctyhNn8vNRUPl-w,
65,88,アルファルファ,2,11,,1995/1/1 0:00,2003/1/1 0:00,,αルファ,飯塚悟志,スクールJCA,,,,
66,108,あわよくば,2,11,,2008/1/1 0:00,2016/1/1 0:00,,,両者,学習塾,,https://profile.yoshimoto.co.jp/talent/detail?id=6583,,
67,104,アンガールズ,2,11,,2000/9/1 0:00,,,高本山根（山根） ラスカルズ（田中）,田中 卓志,大学時代のサークル,,https://www.watanabepro.co.jp/mypage/3000004/,https://www.youtube.com/channel/UC2GDqI416LxFZDBB95Ag80Q,
68,108,アンカンミンカン,2,11,,2006/1/1 0:00,,,,川島大輔,,,https://profile.yoshimoto.co.jp/talent/detail?id=3324,,
69,93,アンクルベイビー,2,11,,1983/1/1 0:00,,,,,,,,,
70,88,アンジャッシュ,2,11,,1993/1/1 0:00,,,UNJASH,両者（+構成作家）,東京都立日野高等学校,,http://www.p-jinriki.com/talent/un-jash/,,
71,125,ANZEN漫才,2,11,,2009/1/1 0:00,,どぶろっく,,あらぽん,保育園の同級生,,http://asaikikaku.co.jp/talent/profile/anzenmanzai,,
72,108,アンダーエイジ,2,11,,2007/1/1 0:00,,,,,,,https://profile.yoshimoto.co.jp/talent/detail?id=3322,,
73,108,アンダーポイント,2,11,,2003/1/1 0:00,,,UNDER POINT,,,,,,
74,104,アンダーライン ,2,11,,2009/1/1 0:00,2012/1/1 0:00,,,,春日部共栄高等学校野球部,,,,
